,,,,,,,,
"
",,,,,,,,
Select filter criteria below:,,,,,,,,
Start Date:,03/01/2014 ,Start Time:,12:00 AM ,Building:,All ,,,
 End Date:,03/31/2014 ,End Time:,11:59 PM,Room:,All,,,
,,,,,,,,
,,,,,,,,
Name,Building,Room,Days met,Start Date,End Date,Start Time,End Time,
Strategic Planning for Growth  ,JKP ,JKP ,FS ,11/15/2013 ,05/03/2014 ,08:50 AM ,04:30 PM ,
Strategic Planning for Growth  ,SAN DIEGO ,SAN DIEGO ,FS ,11/22/2013 ,05/10/2014 ,08:50 AM ,04:30 PM ,
Assessment and Instruction for Diverse E  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:30 AM ,07:30 AM ,
Capstone in Teaching English Learners  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,05:30 AM ,07:00 AM ,
Capstone in Teaching English Learners  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:30 AM ,07:00 AM ,
Foundations of Literacy Development and  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,05:30 AM ,07:30 AM ,
Human Differences  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,05:30 AM ,07:30 AM ,
Instruction for Teaching English as a Ne  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:30 AM ,07:30 AM ,
Integrating Literacy in Secondary Conten  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:30 AM ,07:30 AM ,
Systems of the English Language  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,05:30 AM ,07:30 AM ,
Teaching English to Speakers of Other La  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:30 AM ,07:30 AM ,
Teaching English to Speakers of Other La  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:30 AM ,07:30 AM ,
Capstone Portfolio in Learning and Instr  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,08:00 AM ,10:00 AM ,
Capstone Portfolio in Learning and Instr  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,08:00 AM ,10:00 AM ,
Guided Practice  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,08:00 AM ,10:30 AM ,
Guided Practice  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,08:00 AM ,10:30 AM ,
Guided Practice  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,08:00 AM ,10:30 AM ,
Human Differences  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,08:00 AM ,10:00 AM ,
Human Differences  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,08:00 AM ,10:00 AM ,
Integrating English Language Arts and So  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,08:00 AM ,11:00 AM ,
Introduction to Special Education  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,08:00 AM ,10:00 AM ,
Methods in Teaching English as a New Lan  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,08:00 AM ,10:00 AM ,
Multimedia Literacy  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,08:00 AM ,10:00 AM ,
New Media Literacies in High Needs Schoo  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,08:00 AM ,10:00 AM ,
